label,message
ham,"Hey, are we still meeting in the library after lunch?"
spam,"Congratulations! You have won a free entry ticket. Claim now."
ham,"Please bring the assignment file tomorrow morning."
spam,"URGENT! Your mobile number has won cash prize. Call now."
ham,"Can you send me the notes from today's lecture?"
spam,"Exclusive offer just for you. Click the link to get reward."
ham,"I am running late for class, start without me."
spam,"Winner! You have been selected for a free holiday package."
ham,"Let's discuss the project presentation this evening."
spam,"Your account has been blocked. Verify immediately to avoid suspension."
ham,"Dad asked me to remind you about dinner tonight."
spam,"Get guaranteed loan approval in minutes. Apply today."
ham,"The lab exam schedule has been uploaded on the portal."
spam,"Limited time deal! Buy now and get free cashback."
ham,"I submitted the internship form yesterday."
spam,"You have been chosen to receive a gift voucher worth 5000."
ham,"Please check whether the seminar hall is available."
spam,"Act fast! Claim your reward before it expires tonight."
ham,"Can we swap our presentation slots for Friday?"
spam,"Free ringtone subscription activated. Reply STOP to cancel."
ham,"I will call you once the faculty meeting ends."
spam,"Earn money from home with zero investment. Join today."
ham,"The bus is delayed, I will be there in ten minutes."
spam,"Congratulations winner, your number was picked in lucky draw."
ham,"Need help with the Python assignment after class?"
spam,"Lowest insurance rate available now. Call for instant offer."
ham,"Please update the attendance sheet when you arrive."
spam,"Claim your exclusive bonus by sending bank details immediately."
ham,"The meeting room has been changed to block B."
spam,"Important notification: your ATM card will stop working unless verified."
ham,"Did you complete the experiment observation table?"
spam,"You won movie passes and shopping coupons. Reply YES now."
ham,"The teacher shared the viva questions in the group."
spam,"Special discount on premium membership ends today."
ham,"I reached home safely, message me when you get back."
spam,"Your SIM card will be deactivated. Confirm identity urgently."
ham,"Can you review my resume before I submit it?"
spam,"Congratulations! A free smartphone is waiting for you."
ham,"We have football practice at 6 pm on campus."
spam,"Get instant access to secret trading tips and huge profits."
ham,"Please send the Zoom link for the workshop."
spam,"Claim cash back reward by clicking this secure link."
ham,"The printer near the lab is not working."
spam,"Final alert: update payment details to continue service."
ham,"I will share the project code after dinner."
spam,"Free entry in weekly contest. Text WIN to 80808."
ham,"Can you save me a seat in the front row?"
spam,"You are pre-approved for a luxury credit card. Apply now."
ham,"Let's finish the report introduction tonight."
spam,"Immediate action required to unlock your online banking."
ham,"The club event starts at 4 pm in the auditorium."
spam,"Winner announcement! Receive your guaranteed electronics gift."
ham,"Please upload the final poster to the drive."
spam,"Your package is on hold. Pay a small fee to release it."
ham,"Thanks for helping me prepare for the viva."
spam,"Free coupons are waiting. Open the link to collect them."
ham,"I am outside the department office. Come when free."
spam,"Lottery result out now. You have won a huge amount."
ham,"The assignment deadline was extended until Monday."
spam,"Reply now to get a free subscription and bonus cash."
ham,"SBI Alert: INR 15,000 credited to your account ending 4521. Avl bal INR 43,210."
ham,"HDFC Bank: OTP 667821 for netbanking login. Do not share this with anyone."
ham,"IRCTC: Your ticket is confirmed. PNR 2456712345, Coach S3, Seat 41."
ham,"Amazon: Your order has been shipped and will reach you by tomorrow."
ham,"Airtel Thanks: Recharge successful. Your pack is valid till 15 May."
ham,"Jio: Data pack activated successfully on your number. Enjoy unlimited 5G."
ham,"Axis Bank: Rs 2,450 debited from A/C ending 9921 on 22-Apr."
ham,"Your appointment with Dr. Sharma is confirmed for 10:30 AM tomorrow."
ham,"Flipkart: Your refund of Rs 899 has been processed to original payment method."
ham,"Electricity bill payment of Rs 1260 received successfully. Thank you."
ham,"Swiggy: Your order is out for delivery and will arrive in 12 minutes."
ham,"UPI Alert: Rs 650 received from Rohan. Ref no 3245678912."
ham,"Can we shift the viva practice to 5 pm today?"
ham,"Please send me the lab record before the faculty review."
ham,"The class test will be held in room 204 after lunch."
ham,"Your courier has been delivered at the front desk."
ham,"Meeting with the project guide is scheduled for 11 AM."
ham,"Invoice for your annual subscription has been generated successfully."
ham,"Your metro smart card recharge was successful."
ham,"Mama asked me to pick up groceries while coming home."
spam,"Bank update required now. Click link and submit card details to avoid account block."
spam,"Congratulations winner! Claim your luxury phone reward by paying processing fee."
spam,"Limited time lottery bonus. Send your account number immediately to receive cash."
spam,"Urgent payment alert: update KYC now through this link or service will stop."
spam,"You are selected for an exclusive prize. Call now to confirm your reward."
spam,"Pre-approved personal loan available instantly. Apply now and get cash today."
spam,"Free vacation package waiting for you. Click here and claim before midnight."
spam,"Final warning: verify wallet details now to prevent permanent suspension."
spam,"Win shopping vouchers worth 10000. Reply YES and share your bank OTP."
spam,"Exclusive crypto investment plan guarantees double profit in 24 hours."
